GCA_000007325.1	117550/318/2
GCA_000008085.1	117549/5149/2
GCA_000008885.1	117550/336/2
GCA_000009845.1	117550/345/2
GCA_000010085.1	117550/365/2
GCA_000010565.1	117550/375/2
GCA_000010645.1	117550/15/2
GCA_000011445.1	117550/398/2
GCA_000012145.1	117550/407/2
GCA_000013185.1	117550/425/2
GCA_000016605.1	117549/5164/2
GCA_000017245.1	117550/435/2
GCA_000017645.1	117550/458/2
GCA_000018565.1	117550/467/2
GCA_000020605.1	117550/487/2
GCA_000023725.1	117550/497/2
GCA_000024525.1	117550/524/2
GCA_000026125.1	117550/535/2
GCA_000027065.2	117550/560/2
GCA_000043285.1	117550/572/2
GCA_000063505.1	117550/595/2
GCA_000063525.1	117550/604/2
GCA_000069185.1	117550/623/2
GCA_000069925.1	117550/634/2
GCA_000091165.1	117551/3/2
GCA_000093085.1	117550/655/2
GCA_000145985.1	117549/5172/2
GCA_000146855.1	117550/670/2
GCA_000147015.1	117550/689/2
GCA_000153145.1	117550/698/2
GCA_000153385.1	117550/720/2
GCA_000153445.1	117550/729/2
GCA_000153745.1	117550/747/2
GCA_000154325.1	117550/355/2
GCA_000154345.1	117550/385/2
GCA_000155435.1	117550/756/2
GCA_000155695.1	117550/768/2
GCA_000155715.1	117550/789/2
GCA_000155855.1	117550/798/2
GCA_000155875.1	117550/415/2
GCA_000156115.1	117550/445/2
GCA_000156155.1	117550/477/2
GCA_000156295.1	117550/512/2
GCA_000158135.1	117550/547/2
GCA_000158155.1	117550/583/2
GCA_000158655.1	117550/613/2
GCA_000161975.1	117550/644/2
GCA_000163555.2	117550/680/2
GCA_000163695.1	117550/710/2
GCA_000163995.1	117550/738/2
GCA_000166735.2	117550/780/2
GCA_000168735.1	117550/327/2
GCA_000168995.1	117550/808/2
GCA_000169075.1	117550/826/2
GCA_000169115.1	117550/839/2
GCA_000169355.1	117550/858/2
GCA_000169395.1	117550/868/2
GCA_000169995.1	117550/891/2
GCA_000170815.1	117551/10/2
GCA_000171835.1	117550/904/2
GCA_000171875.1	117550/926/2
GCA_000173095.1	117550/937/2
GCA_000173115.1	117550/957/2
GCA_000173575.1	117550/968/2
GCA_000179315.1	117550/987/2
GCA_000180035.1	117550/1000/2
GCA_000182945.1	117550/1021/2
GCA_000183865.1	117550/1029/2
GCA_000196815.1	117550/1048/2
GCA_000198515.1	117550/1060/2
GCA_000200715.1	117549/1227/2
GCA_000204585.1	117549/1226/2
GCA_000205985.2	117551/16/2
GCA_000209465.1	117550/1079/2
GCA_000209515.2	117550/1089/2
GCA_000213395.2	117550/19/2
GCA_000214705.1	117550/1108/2
GCA_000217635.1	117550/1117/2
GCA_000218705.1	117551/28/2
GCA_000218745.1	117551/34/2
GCA_000220355.1	117549/1240/2
GCA_000220375.1	117549/1249/2
GCA_000220865.1	117550/1135/2
GCA_000222855.1	117550/1144/2
GCA_000223255.2	117550/1163/2
GCA_000224475.1	117549/5188/2
GCA_000224765.2	117550/21/2
GCA_000227505.4	117550/1173/2
GCA_000227525.2	117550/1192/2
GCA_000237975.1	117550/1201/2
GCA_000238815.2	117550/1219/2
GCA_000242935.3	117550/1229/2
GCA_000244995.1	117550/1254/2
GCA_000245075.1	117550/1267/2
GCA_000246735.1	117549/1264/2
GCA_000247545.1	117549/5199/2
GCA_000252485.1	117551/46/2
GCA_000252525.1	117551/52/2
GCA_000257205.1	117550/1286/2
GCA_000258595.1	117550/849/2
GCA_000263195.1	117550/877/2
GCA_000263275.1	117550/915/2
GCA_000264945.2	117550/949/2
GCA_000270325.1	117549/1273/2
GCA_000271405.2	117550/977/2
GCA_000272025.2	117550/1009/2
GCA_000276965.1	117550/25/2
GCA_000283635.1	117550/1039/2
GCA_000285855.2	117550/1070/2
GCA_000286355.1	117550/1097/2
GCA_000291825.1	117550/27/2
GCA_000293845.2	117550/1126/2
GCA_000294575.1	117550/31/2
GCA_000296795.1	117550/1153/2
GCA_000299095.1	117550/1183/2
GCA_000299115.1	117550/1210/2
GCA_000302695.1	117550/1242/2
GCA_000306725.1	117549/5216/2
GCA_000307305.1	117550/1278/2
GCA_000307935.1	117550/33/2
GCA_000307955.1	117551/64/2
GCA_000308255.3	117550/818/2
GCA_000309075.1	117550/1308/2
GCA_000309865.1	117549/1288/2
GCA_000309945.1	117550/1319/2
GCA_000310245.1	117551/70/2
GCA_000314955.1	117550/1337/2
GCA_000317655.1	117550/1349/2
GCA_000318405.1	117550/1370/2
GCA_000330845.1	117550/1381/2
GCA_000331975.1	117550/1405/2
GCA_000332255.1	117550/1414/2
GCA_000332645.1	117550/1434/2
GCA_000333235.1	117550/1446/2
GCA_000333335.1	117550/1465/2
GCA_000333815.1	117550/1476/2
GCA_000335715.1	117550/1491/2
GCA_000335735.1	117550/1501/2
GCA_000336895.1	117549/5226/2
GCA_000342265.1	117550/1521/2
GCA_000344275.1	117550/1531/2
GCA_000350305.1	117549/5242/2
GCA_000353875.1	117550/37/2
GCA_000371745.1	117550/39/2
GCA_000371845.1	117550/43/2
GCA_000372185.1	117550/45/2
GCA_000372225.1	117550/49/2
GCA_000372785.1	117550/51/2
GCA_000375685.1	117549/1239/2
GCA_000378025.1	117550/1553/2
GCA_000378865.1	117550/55/2
GCA_000378885.1	117550/57/2
GCA_000379225.1	117550/61/2
GCA_000380225.1	117550/1563/2
GCA_000380705.1	117549/1247/2
GCA_000381565.1	117550/1588/2
GCA_000381585.1	117550/1600/2
GCA_000381605.1	117550/1619/2
GCA_000381625.1	117550/1628/2
GCA_000383115.1	117550/63/2
GCA_000383295.1	117550/1649/2
GCA_000383355.1	117550/67/2
GCA_000383715.1	117550/69/2
GCA_000383735.1	117550/73/2
GCA_000383815.1	117550/75/2
GCA_000383895.1	117550/1660/2
GCA_000384495.1	117550/79/2
GCA_000384615.1	117550/81/2
GCA_000384935.1	117550/85/2
GCA_000385055.1	117550/87/2
GCA_000385635.1	117550/91/2
GCA_000385835.1	117550/1682/2
GCA_000387965.1	117549/1254/2
GCA_000389735.1	117549/1263/2
GCA_000398025.1	117550/93/2
GCA_000402075.1	117549/1271/2
GCA_000402295.1	117550/97/2
GCA_000402355.1	117549/1279/2
GCA_000402515.1	117549/1287/2
GCA_000402655.1	117550/23/2
GCA_000402755.1	117550/29/2
GCA_000402775.1	117549/1295/2
GCA_000402815.1	117550/99/2
GCA_000402835.1	117550/101/2
GCA_000403035.1	117550/105/2
GCA_000403215.2	117550/1691/2
GCA_000403255.2	117550/1713/2
GCA_000403275.2	117550/1721/2
GCA_000403295.2	117550/1742/2
GCA_000403315.2	117550/1752/2
GCA_000403335.2	117550/1774/2
GCA_000403415.2	117550/1329/2
GCA_000403475.2	117550/1361/2
