GCA_000007325.1	117550/318/4
GCA_000008085.1	117549/5149/4
GCA_000008885.1	117550/336/4
GCA_000009845.1	117550/345/4
GCA_000010085.1	117550/365/3
GCA_000010565.1	117550/375/4
GCA_000010645.1	117550/15/5
GCA_000011445.1	117550/398/4
GCA_000012145.1	117550/407/4
GCA_000013185.1	117550/425/4
GCA_000014225.1	117553/11/4
GCA_000016325.1	117553/21/4
GCA_000016605.1	117549/5164/4
GCA_000016765.1	117553/26/4
GCA_000017245.1	117550/435/4
GCA_000017645.1	117550/458/4
GCA_000018545.1	117553/36/4
GCA_000018565.1	117550/467/4
GCA_000020605.1	117550/487/4
GCA_000023725.1	117550/497/4
GCA_000024525.1	117550/524/4
GCA_000026125.1	117550/535/4
GCA_000027065.2	117550/560/4
GCA_000043285.1	117550/572/4
GCA_000063505.1	117550/595/4
GCA_000063525.1	117550/604/4
GCA_000069185.1	117550/623/3
GCA_000069925.1	117550/634/4
GCA_000091165.1	117551/3/4
GCA_000093085.1	117550/655/3
GCA_000143165.1	117553/40/4
GCA_000145985.1	117549/5172/4
GCA_000146855.1	117550/670/4
GCA_000147015.1	117550/689/4
GCA_000153145.1	117550/698/4
GCA_000153385.1	117550/720/4
GCA_000153445.1	117550/729/4
GCA_000153745.1	117550/747/4
GCA_000154325.1	117550/355/4
GCA_000154345.1	117550/385/4
GCA_000155435.1	117550/756/4
GCA_000155695.1	117550/768/4
GCA_000155715.1	117550/789/4
GCA_000155855.1	117550/798/4
GCA_000155875.1	117550/415/4
GCA_000156115.1	117550/445/4
GCA_000156155.1	117550/477/4
GCA_000156295.1	117550/512/4
GCA_000158135.1	117550/547/4
GCA_000158155.1	117550/583/4
GCA_000158655.1	117550/613/4
GCA_000161775.1	117553/51/4
GCA_000161975.1	117550/644/4
GCA_000163555.2	117550/680/4
GCA_000163695.1	117550/710/4
GCA_000163995.1	117550/738/4
GCA_000166735.2	117550/780/4
GCA_000168735.1	117550/327/4
GCA_000168995.1	117550/808/4
GCA_000169075.1	117550/826/4
GCA_000169115.1	117550/839/4
GCA_000169355.1	117550/858/4
GCA_000169395.1	117550/868/4
GCA_000169995.1	117550/891/4
GCA_000170815.1	117551/10/4
GCA_000171835.1	117550/904/4
GCA_000171875.1	117550/926/4
GCA_000173095.1	117550/937/3
GCA_000173115.1	117550/957/4
GCA_000173575.1	117550/968/4
GCA_000174895.1	117553/56/4
GCA_000175855.1	117553/65/4
GCA_000176735.1	117553/69/4
GCA_000179315.1	117550/987/4
GCA_000180035.1	117550/1000/3
GCA_000182945.1	117550/1021/4
GCA_000183865.1	117550/1029/4
GCA_000193795.2	117553/79/4
GCA_000195205.2	117553/85/4
GCA_000196815.1	117550/1048/4
GCA_000198515.1	117550/1060/4
GCA_000200715.1	117549/1227/4
GCA_000204585.1	117549/1226/4
GCA_000205985.2	117551/16/4
GCA_000209465.1	117550/1079/4
GCA_000209515.2	117550/1089/4
GCA_000209815.1	117553/91/4
GCA_000213395.2	117550/19/4
GCA_000214705.1	117550/1108/4
GCA_000217635.1	117550/1117/3
GCA_000218705.1	117551/28/4
